time,data
2021-06-08,103235
2021-06-09,103261
2021-06-10,103285
2021-06-11,103320
2021-06-12,103357
2021-06-13,103380
2021-06-14,103401
2021-06-15,103424
2021-06-16,103444
2021-06-17,103467
2021-06-18,103501
2021-06-19,103525
2021-06-20,103543
2021-06-21,103571
2021-06-22,103602
2021-06-23,103620
2021-06-24,103651
2021-06-25,103680
2021-06-26,103696
2021-06-27,103724
2021-06-28,103745
2021-06-29,103755
2021-06-30,103769
2021-07-01,103791
2021-07-02,103825
2021-07-03,103841
2021-07-04,103866
2021-07-05,103890
2021-07-06,103948
2021-07-07,103966
2021-07-08,103992
2021-07-09,104019
2021-07-10,104020
2021-07-11,104072
2021-07-12,104101
2021-07-13,104126
2021-07-14,104157
2021-07-15,104193
2021-07-16,104224
2021-07-17,104257
2021-07-18,104290
2021-07-19,104355
2021-07-20,104362
2021-07-21,104440
2021-07-22,104489
2021-07-23,104563
2021-07-24,104562
2021-07-25,104642
2021-07-26,104713
2021-07-27,104800
2021-07-28,104850
2021-07-29,104918
2021-07-30,104973
2021-07-31,105050
2021-08-01,105149
2021-08-02,105242
2021-08-03,105346
2021-08-04,105433
2021-08-05,105563
2021-08-06,105672
2021-08-07,105775
2021-08-08,105902
2021-08-09,106047
2021-08-10,106162
2021-08-11,106244
2021-08-12,106348
2021-08-13,106419
2021-08-14,106474
2021-08-15,106526
2021-08-16,106571
2021-08-17,106602
